"Title","Rating","Reviews","Phone","Industry","Address","Website","Google Maps Link"
"101 CAFFE'","4.8","46","","","101 CAFFE","","https://www.google.com/maps/place/101+CAFFE%27/data=!4m7!3m6!1s0xdafef8ad7e7a2b5:0xdc7205e490867ea7!8m2!3d31.6374728!4d-8.0137622!16s%2Fg%2F11fk1qyyw9!19sChIJtaLn14rvrw0Rp36GkOQFctw?authuser=0&hl=en&rclk=1"
"Terra mia café","4.8","329","","","","","https://www.google.com/maps/place/Terra+mia+caf%C3%A9/data=!4m7!3m6!1s0xdafef8f2b712f59:0x6fc0f4ddbe1b5dcc!8m2!3d31.6349456!4d-8.009978!16s%2Fg%2F11rvbmhk16!19sChIJWS9xK4_vrw0RzF0bvt30wG8?authuser=0&hl=en&rclk=1"
"Elite Café & Restaurant","3.6","1,742","","","","","https://www.google.com/maps/place/Elite+Caf%C3%A9+%26+Restaurant/data=!4m7!3m6!1s0xdafee8ea0360aad:0xe913191c01c17875!8m2!3d31.6335579!4d-8.0095781!16s%2Fg%2F1vqmkqz9!19sChIJrQo2oI7urw0RdXjBARwZE-k?authuser=0&hl=en&rclk=1"
"Café L'elysèe","3.9","14","","","","","https://www.google.com/maps/place/Caf%C3%A9+L%27elys%C3%A8e/data=!4m7!3m6!1s0xdafee91a9396857:0x7989a69972d3fed7!8m2!3d31.6353053!4d-8.0162376!16s%2Fg%2F11bxd8b0fx!19sChIJV2g5qZHurw0R1_7TcpmmiXk?authuser=0&hl=en&rclk=1"
"Les Négociants","4.2","685","","","","","https://www.google.com/maps/place/Les+N%C3%A9gociants/data=!4m7!3m6!1s0xdafee902b5e8e85:0xd1880a5cb212605f!8m2!3d31.6359352!4d-8.0140188!16s%2Fg%2F1tg_yfy2!19sChIJhY5eK5Durw0RX2ASslwKiNE?authuser=0&hl=en&rclk=1"
"Cafe Las Torres De Majorelle","4.1","321","","","","","https://www.google.com/maps/place/Cafe+Las+Torres+De+Majorelle/data=!4m7!3m6!1s0xdafee87e2f3ff73:0x4691f3a4dfcc2575!8m2!3d31.6391657!4d-8.0040694!16s%2Fg%2F11dylvk6vk!19sChIJc__z4ofurw0RdSXM36TzkUY?authuser=0&hl=en&rclk=1"
"L'Adresse Guéliz, Café & Restaurant","4.1","3,471","","$$Coffee shop  Atar،","1 Villa","","https://www.google.com/maps/place/L%27Adresse+Gu%C3%A9liz,+Caf%C3%A9+%26+Restaurant/data=!4m7!3m6!1s0xdafee8e627dfdff:0x8c2b861559a79ad3!8m2!3d31.6315666!4d-8.0070661!16s%2Fg%2F11c1h_prls!19sChIJ__19Yo7urw0R05qnWRWGK4w?authuser=0&hl=en&rclk=1"
"Café Snack CTM","3.3","711","","$Cafe  JXGH+GR3 Rue Abou Bakr SeddiqOpen","Dine","","https://www.google.com/maps/place/Caf%C3%A9+Snack+CTM/data=!4m7!3m6!1s0xdafee94b08ea981:0xf460dddb003b93e0!8m2!3d31.6262688!4d-8.0204516!16s%2Fg%2F11bycjcp0_!19sChIJgamOsJTurw0R4JM7ANvdYPQ?authuser=0&hl=en&rclk=1"
"Pikala Cafe","4.5","481","","$$Restaurant ","139 Arset Aouzal Rd","","https://www.google.com/maps/place/Pikala+Cafe/data=!4m7!3m6!1s0xdafef6da0f35aeb:0xe81deb9f3ff0b73c!8m2!3d31.6315222!4d-7.9950212!16s%2Fg%2F11rwqw9yz9!19sChIJ61rzoG3vrw0RPLfwP5_rHeg?authuser=0&hl=en&rclk=1"
"News Café","4.2","1,213","","$$Cafe ","1 Angle Abou Baker Seddik et Omar Ben Khattab","","https://www.google.com/maps/place/News+Caf%C3%A9/data=!4m7!3m6!1s0xdafeeed2e237175:0x1610a73a7368d055!8m2!3d31.6267724!4d-8.0159621!16s%2Fg%2F1yg570v6q!19sChIJdXEjLu3urw0RVdBoczqnEBY?authuser=0&hl=en&rclk=1"
